uid,experience,hourly_rate,cv_url,cv_file_name,status,rating,review_count,session_count,created_at
ac6720c6-08fc-47f9-98be-20a4,IBA student with strong academic background in Operating Systems. Prefer concept-based teaching.,250,https://storage.instastudy.pk/cvs/ac6720c6.pdf,cv_khadija.pdf,approved,4.63,3,13,2026-03-08 11:10:49
119e3bb3-573b-44e0-8d3d-32f2,Scored full marks in Computer Networks. Comfortable explaining concepts from scratch.,800,https://storage.instastudy.pk/cvs/119e3bb3.pdf,cv_iqra.pdf,approved,3.6,4,45,2025-12-03 11:10:49
41c1bd2f-bbd3-4eaa-bac8-c478,Top of my class in Statistics at UCP. Looking to help other students avoid the mistakes I made.,700,https://storage.instastudy.pk/cvs/41c1bd2f.pdf,cv_taimur.pdf,approved,4.79,3,23,2026-03-19 11:10:49
fe3511f1-d615-4b38-8878-027b,Engineering graduate from UET with hands-on experience teaching Physics to university students.,400,https://storage.instastudy.pk/cvs/fe3511f1.pdf,cv_fatima.pdf,approved,4.65,3,26,2025-12-27 11:10:49
d7736bfc-7f6e-459a-8752-0cab,IMSciences student with consistent A grades in OOP. Friendly and flexible with timings.,600,https://storage.instastudy.pk/cvs/d7736bfc.pdf,cv_areeba.pdf,approved,3.5,2,34,2026-03-03 11:10:49
8c8bfe23-6e09-47f2-bcef-6522,"4th year CS student, specialized in Physics. Have conducted group study sessions regularly.",250,,,rejected,,0,0,2026-01-31 11:10:49
280e198e-916a-4fcd-8047-eb52,"3rd year student at LUMS, majoring in Physics-related coursework. Available on weekdays.",800,https://storage.instastudy.pk/cvs/280e198e.pdf,cv_sara.pdf,approved,3.8,3,49,2025-11-30 11:10:49
8213a4e1-7185-475b-93b8-37bf,Passionate about Physics. Have been tutoring since my 2nd year at Air University.,200,,,pending,,0,0,2026-01-25 11:10:49
4e0230b1-1192-43e7-b07b-107f,"4th year CS student, specialized in Operating Systems. Have conducted group study sessions regularly.",200,https://storage.instastudy.pk/cvs/4e0230b1.pdf,cv_saad.pdf,approved,3.67,5,53,2026-01-29 11:10:49
783c370e-c894-40e4-8502-947e,BS Software Engineering student at NUST. Tutored 10+ students in DBMS last semester.,200,https://storage.instastudy.pk/cvs/783c370e.pdf,cv_fahad.pdf,approved,3.86,1,68,2026-03-27 11:10:49
6799d927-18dc-42ec-a491-f5a0,IMSciences student with consistent A grades in Operating Systems. Friendly and flexible with timings.,250,,,pending,,0,0,2025-12-02 11:10:49
014549b7-ee02-44a3-b002-6d0c,Engineering graduate from UET with hands-on experience teaching OOP to university students.,300,https://storage.instastudy.pk/cvs/014549b7.pdf,cv_raza.pdf,approved,4.49,1,42,2025-12-03 11:10:49
092a273d-8424-49a4-8ecc-ee7b,Top of my class in Discrete Mathematics at UCP. Looking to help other students avoid the mistakes I made.,500,https://storage.instastudy.pk/cvs/092a273d.pdf,cv_ayesha.pdf,approved,4.95,1,60,2026-02-25 11:10:49
0cb77f4b-6938-42e8-8ac0-ef08,Graduated with distinction. Teaching Statistics to university students for the past 2 years.,500,https://storage.instastudy.pk/cvs/0cb77f4b.pdf,cv_umer.pdf,approved,4.99,3,39,2025-12-06 11:10:49
